# PBC Ising L=16, dps=50, h_fd=1e-05
#       beta              logZ/N            energy/N                  cv
    0.1332      0.713863495492     -0.274467060685      0.038761549242
    0.1333      0.713890953122     -0.274685545585      0.038824912326
    0.1334      0.713918432602     -0.274904059429      0.038888339087
    0.1335      0.713945933935     -0.275122602243      0.038951829565
    0.1336      0.713973457123     -0.275341174051      0.039015383798
    0.1337      0.714001002170     -0.275559774880      0.039079001828
    0.1338      0.714028569079     -0.275778404755      0.039142683693
    0.1339      0.714056157852     -0.275997063702      0.039206429434
    0.1340      0.714083768493     -0.276215751746      0.039270239090
    0.1341      0.714111401004     -0.276434468913      0.039334112701
    0.1342      0.714139055388     -0.276653215228      0.039398050308
    0.1343      0.714166731648     -0.276871990719      0.039462051949
    0.1344      0.714194429787     -0.277090795409      0.039526117666
    0.1345      0.714222149808     -0.277309629325      0.039590247498
    0.1346      0.714249891714     -0.277528492492      0.039654441486
    0.1347      0.714277655507     -0.277747384936      0.039718699669
    0.1348      0.714305441192     -0.277966306683      0.039783022088
    0.1349      0.714333248770     -0.278185257759      0.039847408783
    0.1350      0.714361078244     -0.278404238188      0.039911859795
    0.1351      0.714388929618     -0.278623247998      0.039976375163
    0.1352      0.714416802895     -0.278842287214      0.040040954928
    0.1353      0.714444698077     -0.279061355861      0.040105599131
    0.1354      0.714472615167     -0.279280453965      0.040170307812
    0.1355      0.714500554168     -0.279499581552      0.040235081011
    0.1356      0.714528515084     -0.279718738648      0.040299918770
    0.1357      0.714556497917     -0.279937925279      0.040364821128
    0.1358      0.714584502670     -0.280157141471      0.040429788127
    0.1359      0.714612529346     -0.280376387248      0.040494819807
    0.1360      0.714640577949     -0.280595662638      0.040559916209
    0.1361      0.714668648480     -0.280814967666      0.040625077374
    0.1362      0.714696740943     -0.281034302357      0.040690303342
    0.1363      0.714724855341     -0.281253666739      0.040755594154
    0.1364      0.714752991677     -0.281473060835      0.040820949852
    0.1365      0.714781149954     -0.281692484674      0.040886370476
    0.1366      0.714809330175     -0.281911938280      0.040951856067
    0.1367      0.714837532343     -0.282131421679      0.041017406667
    0.1368      0.714865756461     -0.282350934897      0.041083022317
    0.1369      0.714894002531     -0.282570477960      0.041148703057
    0.1370      0.714922270557     -0.282790050894      0.041214448929
    0.1371      0.714950560542     -0.283009653726      0.041280259974
    0.1372      0.714978872489     -0.283229286480      0.041346136233
    0.1373      0.715007206400     -0.283448949184      0.041412077749
    0.1374      0.715035562280     -0.283668641862      0.041478084561
    0.1375      0.715063940130     -0.283888364541      0.041544156712
    0.1376      0.715092339954     -0.284108117248      0.041610294243
    0.1377      0.715120761754     -0.284327900007      0.041676497196
    0.1378      0.715149205535     -0.284547712845      0.041742765612
    0.1379      0.715177671298     -0.284767555788      0.041809099532
    0.1380      0.715206159047     -0.284987428862      0.041875498999
    0.1381      0.715234668785     -0.285207332094      0.041941964054
    0.1382      0.715263200514     -0.285427265508      0.042008494739
    0.1383      0.715291754239     -0.285647229132      0.042075091096
    0.1384      0.715320329961     -0.285867222992      0.042141753166
    0.1385      0.715348927684     -0.286087247112      0.042208480992
    0.1386      0.715377547411     -0.286307301521      0.042275274615
    0.1387      0.715406189146     -0.286527386243      0.042342134078
    0.1388      0.715434852890     -0.286747501305      0.042409059421
    0.1389      0.715463538647     -0.286967646733      0.042476050689
    0.1390      0.715492246420     -0.287187822553      0.042543107921
    0.1391      0.715520976212     -0.287408028791      0.042610231162
    0.1392      0.715549728027     -0.287628265474      0.042677420452
    0.1393      0.715578501866     -0.287848532628      0.042744675835
    0.1394      0.715607297734     -0.288068830279      0.042811997352
    0.1395      0.715636115634     -0.288289158452      0.042879385046
    0.1396      0.715664955567     -0.288509517175      0.042946838960
    0.1397      0.715693817538     -0.288729906474      0.043014359135
    0.1398      0.715722701549     -0.288950326374      0.043081945614
    0.1399      0.715751607604     -0.289170776903      0.043149598440
    0.1400      0.715780535706     -0.289391258085      0.043217317656
    0.1401      0.715809485857     -0.289611769949      0.043285103303
