# Device: cuda:3 | TF32 disabled: True
# L=32,  N=1024 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 0.76s | Matrix: 3968x3968 | ~0.23 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1211      0.7075231972     -5.8424706627     -0.2402503772      0.0304804083     0.185
  0.1212      0.7075472327     -5.8378484544     -0.2404582308      0.0305342962     0.171
  0.1213      0.7075712889     -5.8332340387     -0.2406661084      0.0305882424     0.156
  0.1214      0.7075953659     -5.8286273962     -0.2408740101      0.0306422413     0.152
  0.1215      0.7076194637     -5.8240285078     -0.2410819359      0.0306963001     0.188
  0.1216      0.7076435823     -5.8194373543     -0.2412898858      0.0307504147     0.204
  0.1217      0.7076677217     -5.8148539168     -0.2414978598      0.0308045850     0.188
  0.1218      0.7076918819     -5.8102781762     -0.2417058579      0.0308588119     0.202
  0.1219      0.7077160628     -5.8057101136     -0.2419138802      0.0309130963     0.189
  0.1220      0.7077402646     -5.8011497101     -0.2421219266      0.0309674386     0.198
  0.1221      0.7077644872     -5.7965969470     -0.2423299973      0.0310218351     0.189
  0.1222      0.7077887306     -5.7920518055     -0.2425380922      0.0310762899     0.176
  0.1223      0.7078129948     -5.7875142670     -0.2427462114      0.0311308021     0.209
  0.1224      0.7078372799     -5.7829843127     -0.2429543548      0.0311853688     0.216
  0.1225      0.7078615857     -5.7784619242     -0.2431625226      0.0312399954     0.192
  0.1226      0.7078859124     -5.7739470830     -0.2433707146      0.0312946772     0.169
  0.1227      0.7079102599     -5.7694397707     -0.2435789310      0.0313494147     0.178
  0.1228      0.7079346282     -5.7649399688     -0.2437871718      0.0314042129     0.178
  0.1229      0.7079590173     -5.7604476590     -0.2439954369      0.0314590642     0.172
  0.1230      0.7079834273     -5.7559628232     -0.2442037265      0.0315139760     0.161
  0.1231      0.7080078580     -5.7514854431     -0.2444120405      0.0315689420     0.177
  0.1232      0.7080323097     -5.7470155005     -0.2446203790      0.0316239664     0.209
  0.1233      0.7080567821     -5.7425529774     -0.2448287419      0.0316790474     0.198
  0.1234      0.7080812754     -5.7380978558     -0.2450371293      0.0317341876     0.200
  0.1235      0.7081057895     -5.7336501178     -0.2452455413      0.0317893821     0.179
  0.1236      0.7081303245     -5.7292097453     -0.2454539777      0.0318446361     0.198
  0.1237      0.7081548803     -5.7247767206     -0.2456624388      0.0318999460     0.210
  0.1238      0.7081794570     -5.7203510259     -0.2458709245      0.0319553139     0.241
  0.1239      0.7082040545     -5.7159326435     -0.2460794347      0.0320107392     0.229
  0.1240      0.7082286729     -5.7115215556     -0.2462879696      0.0320662206     0.247
  0.1241      0.7082533121     -5.7071177447     -0.2464965292      0.0321217627     0.237
  0.1242      0.7082779722     -5.7027211932     -0.2467051134      0.0321773583     0.211
  0.1243      0.7083026531     -5.6983318837     -0.2469137224      0.0322330131     0.230
  0.1244      0.7083273549     -5.6939497986     -0.2471223561      0.0322887257     0.229
  0.1245      0.7083520776     -5.6895749206     -0.2473310145      0.0323444970     0.239
  0.1246      0.7083768211     -5.6852072323     -0.2475396977      0.0324003218     0.210
  0.1247      0.7084015856     -5.6808467165     -0.2477484057      0.0324562086     0.213
  0.1248      0.7084263708     -5.6764933560     -0.2479571385      0.0325121513     0.200
  0.1249      0.7084511770     -5.6721471335     -0.2481658961      0.0325681520     0.189
  0.1250      0.7084760040     -5.6678080321     -0.2483746786      0.0326242082     0.218
  0.1251      0.7085008519     -5.6634760345     -0.2485834860      0.0326803268     0.205
  0.1252      0.7085257207     -5.6591511238     -0.2487923183      0.0327364990     0.200
  0.1253      0.7085506104     -5.6548332831     -0.2490011755      0.0327927303     0.190
  0.1254      0.7085755209     -5.6505224955     -0.2492100577      0.0328490201     0.233
  0.1255      0.7086004524     -5.6462187441     -0.2494189649      0.0329053669     0.324
